00363650,93026,390259,163,1;[8681, 478, 0.8578992844464383, 0.8029031595415096, 343.33509056361373, 0.958978013400255, 0.9654137010676157]
00363650,93026,390259,163,2;[28280.35, 682, 0.832343832745795, 0.7669436437454044, 596.2790477266119, 0.7950966650317078, 1.0075892478588993]
00363650,93026,390259,163,3;[23050.25, 562, 0.8092640154682155, 0.7931649041784539, 393.63160044623794, 0.8581454362594563, 1.0046275563516942]
00363650,93026,390259,165,1;[27862, 736, 0.8588865643804084, 0.7733027848284688, 459.13020668243433, 0.8976331209217085, 0.9961209131048784]
00363650,93026,390259,165,2;[28322.0, 680, 0.8396327150919468, 0.771159832771667, 579.727280971058, 0.8279533692597949, 1.0065552971029816]
00363650,93026,390259,165,3;[26842.410000000003, 610, 0.8123991420282197, 0.7867149829742611, 381.1198458335072, 0.8252805461525813, 1.005697566984909]
00363650,93063,390409,803,2;[24114.16, 626, 0.8577681123972115, 0.8423988775958098, 364.1850936075756, 0.9128732032007, 1.0052833932779361]
00363650,93063,390409,803,3;[12054.630000000001, 480, 0.8286882890833179, 0.7800546773241436, 606.3998847546737, 0.9176470373486866, 1.0044520547945206]
00363650,93063,390409,804,1;[21391, 640, 0.8640530372171731, 0.7758635217692325, 473.9432948530249, 0.9257854720071534, 9999]
00363650,93063,390412,805,1;[23560, 668, 0.8618878939534984, 0.7792107149700849, 419.54131954217013, 0.917539615488869, 0.9974175521781465]
00363650,93063,390412,805,2;[25468.379999999997, 642, 0.8213205202335021, 0.7494160905665738, 926.4991522427263, 0.7858957912278027, 1.0070107749494188]
00363650,93063,390412,806,3;[6455.4400000000005, 390, 0.8072751122049212, 0.7719243532455888, 536.7415414945888, 0.8325233314404842, 0.9877371344722775]
00363650,93064,390414,872,1;[22483, 650, 0.8642267851668257, 0.7880132169637442, 454.67548528870043, 0.9236997473175056, 0.9996220794522375]
00363650,93064,390414,872,2;[19801.6, 566, 0.8311376207644288, 0.7553061021514017, 877.9041460001234, 0.8419877076064407, 1.006167613979925]
00363650,93064,390414,872,3;[27261.63, 614, 0.8099089751598537, 0.7936412260478839, 363.35201018180976, 0.8060588848564657, 1.0068306010928962]
